author,text,likes
@SohilShah_Melodyman,"Amazing beginner level class!! Very well explained in a systematic way, it has increased my confidence in programming! Thanks a lot, sir.🙏☺️✨",0
@oreothelorreo,"ctrl+, then 1 then 6 for windows 2025 16:30",0
@acsc-1192,where's the intermediate and advanced courses? I don't see them on the channel,0
@ROC4Life96,Great series,0
@Baderelidrissi752,ill use on roblox studio,0
@Heyyou-ty6xe,This was sooo easy! Thanks for the tutorial. My confidence is through the roof!,0
@TrendingTopics-j7d,"I really admire and appreciate this person, because I have done Python course from this guy. And now I am really confident about my python skill.",0
@ramsudarshanr8826,"Where are arrays, functions, Structs, enum, OOPS, Constructors?!🗣🔥🔥",0
@Chantep12,My answer on question 2 is different but same answer 😅,0
@JinRyuzaki-b8k,I didn't understand it anything😢 is it just me,0
@flokilothbrok2213,Im not using  c lion im using  sublime text,0
@CodeQuizzes,"Practice C++ here 🤗, Tricky coding questions and Code PUZZLES 🧩🙏🏻.",0
@mahi_lala,I am here after forgetting all c language learned in university😮,2
@caesaryumury5839,Me at 37 in 2025 learning C++,0
@DANDORAK,Thank you sooo much sir!!❤❤,0
@Innoodrr,C++ Tutorial for Beginners - Learn C++ in 1 Hour,0
@Innoodrr,C++ Tutorial for Beginners - Learn C++ in 1 Hour,0
@Yadayadayada-official,Luckily my computer is windows so everything is easier to deal with,0
@Yadayadayada-official,This video is really helpful thanks!,0
@Yadayadayada-official,"I like to:
int main(){
    (do_function)
}",0
@nickolasradl8424,Does anyone else get frustrated when he gives us a problem to solve but hasn't thought us anything about it yet like how am i supposed to solve a problem when you haven't tought me c++ yet 😅,0
@CodexTech-q2e,Can it still cope using vs code,0
@Ybereza69,"With confidence in 1 hour. Sounds like a pipe dream a can get behind, because i like being delusional",0
@bagnarom7024,1:09:16 I'm pretty sure it's not that random it's just the number in the place of the number because the computer doesn't just reset parts of the ram he just doesn't use them so then some numbers get saved in that spot and when you create a new number it will take a spot and when you don't assign a value it will just have the value from that spot,0
@bagnarom7024,"15:57 for people who don't understand you need the ; to tell the compiler how the lines are splited the compiler see the lines as 
std::cout << ""Hello, World""return 0

and without ; he can't tell what is the end of the line",0
@UmarFarooq-du3ld,"I started my c++ journey in August,  2025 😢",4
@PriyanshuPriyanshu-v6z,8:00,0
@shreyamohite8803,"While using this clion id, 
I used alt+key by mistake, 
From this, my laptop curser interrupt while typing. 
It moves suddenly backwards 
So, how to do??? 
Anybody knows please tell",0
@helloiamhere-yp1ce,"Real lessons start from here here guys
👉 👉 8:25",1
@WhiteCrimDEV,Yeah I'm just gonna stay with lua✌️,0
@hiiwilliamss,"Just came from R, Python, and MySQL. Looking into C++ in 2025",0
@ast453000,"Mosh is a good teacher, but this is only the first hour of the course he wants to sell. So the video title is misleading. You will not learn C++ in one hour. You will only learn cout, types, and some basic math.",3
@therealcoolestbaconsChannelALT,I just wanna make my own Roblox executor tbh,0
@iplex8622,why did we now put the using namespace std  from no where please explain where and why we are using it 😅😅,0
@ReaperFivem-u7m,This my start of my journey 🫡,0
@shauryaa74,39:32 best advice for learners❤,1
@ssscuber,"you 1st taught us free and at the end,  then let us realize it was never free just a business model.",1
@عاطینظرپور,هشتگ چیه برادر من,0
@midohassan664,"Today I'm still learning, I'm a normal guy.. wait for me "" remember the name"".",0
@deekshithaDaruri,TMR examm just now I am started that exam also in laptop 😭😭😭ooo i learn codes in python but sir said only in C++ we have to write exam before exam day sir said😭😭😭😭😭😭😭,0
@AynanTazrian-m5d,"Scanf,printf likha lagbe na?",0
@ryantokisaki7878,"Oh, I learn more on this video than on a learning app such as SoloLearn",1
@NElectronicSoul,WTF has changing the theme of your point and click IDE go to do with writing C++ code?!,0
@Shahzain14,49:05,0
@MixxyRBLX,like the vid keep it up,0
@ayeshaprincess4847,Why not use Dev c,0
@dingus_maximus,"Anyone know why I'm getting an error message saying that <cstdlib> is ""possibly unused""?",0
@bread5281,"38:14 (PEMDAS)
Parenthesis, Exponents, Multiplication, Division, Addition, Subtraction.",5
@tanveerbhatti8849,"The range shown for long double in the image at 1:04:16 seem incorrect. The values –3.4E932 to 1.7E4832 are asymmetrical and appear to be typos.

The actual range for a long double depends on its size, but for a common 10-byte or 16-byte implementation, it's approximately ±1.19×10 
4932",0
@fahriz9163,3:52 the value descrease,0
@fahriz9163,2:58 bro all your talk doesn't really provide anything,0
@fahriz9163,"0:15 too much bullshit, please get to it",16
@Galactic333,do you have udemy,0
@Mayyyuuuuu,"At first this teacher would be foreigner, then i came to know that he is indian .",0
@CADOldDog,"Hey, I’m Old Dog. 30 years in C++, still using VC++6.0. Feels like I’m frozen in time. Just curious if there’s anyone else out there still coding MFC like me.",0
@ulfathasangarayev5875,Best advice: Never start c++ as your first programming language. Learn these beginner topics in something like pascal.,0
@JaiprakashPatil-nr6tj,Pdf,0
@kourtneykurt,"""Learn C++  in 1 hour ""  and 30 years",1
@Memoryboost-bh7me,Suryadev helping new comments 🥹 thank you so much bro 🫱🏼‍🫲🏻,0
@drawartpony6880,I use this code on all the ones ide for Windows and none of them work I even tried an online C++ ide that still says there's an error (error: 'include' does not name a type) I don't know what to do,1
@africandaddy-o5i,43:48,0
@AbdulRehman-j8g2e,Bhi asan hindi bolo hum pakistan sa han 🥹,0
@mkuro2537,"Me taking up comp eng for college, still haven't studied yet and 3 weeks left till classes start: Am I cooked or will I cook with this one? Prob not..",0
@saritapokharel1958,How can i create a 3d game using strandered libary,0
@StrikeGD,"Alright guys today I’m starting my C++ journey. I’ll edit along the way.

Reply or Like to remind me to edit on my progress

Edit #1: learned about strings, operators, namespaces, and functions. thanks for the reminders yall, update 2 coming after i learn some more stuff.",8
@proud_fiver,The mistake you made at 35:00 is the same I made while trying this and it took me 10 minutes to figure it out lol,0
@SenkuTheGreat,"it feels like art and craft show i used to watch when i was kid, dubbing and video editing is also good, thanks for your all efforts 🙂",0
@ayashione7743,New beginning.,0
@bhavishya-s9x,Why tf is it dubbed how do i watch it in english,0
@josrimakiin9165,❤🎉,0
@JimmyZ-b4t,Is clion free like pycharm?,0
@jeffsad8391,Yoy meant 1 hour the basics,0
@John-m8e3l,thank you for your hard work mister I'm in grade ten classes right now and I've been wanting to try coding since because me and my friends have a group project that needs coding for it to work properly. so once again thank you,0
@Elixyr1,Unc im hella lost,1
@MyUserIsCool123,Learning this to make a horror game about a myth me and my friends made wish me luck,0
@DebarghyaDas-u9t,Does this cover all the things required to start dsa for college?,0
@brberis,Now in 2025 we are one prompt away.,0
@DevyT_123,Are you Iranian?,1
@TheRoyalAegis,"At this moment, Im a 3rd Year ""Last Year"" and I still dont know which one or job Im goin to learn, I still dont know anything, only html/css to make a simple website, Im cooked, I dont have a dream job, goal, damn it, it is what it is after graduation I guess, whatever jobs.",0
@zestyolu8413,"Thanks Mr Mosh! Excellent explainations, I like C++ Version 20",0
@nb-linux700,Hi there omw to being an Android dev and work at google :),0
@adheepch4827,THIS VIDEO IS A PURE WASTE OF TIME!!! IT DOESNT CONTAIN NAMESPACES AND LOOP STATEMENTS. I HAD TO GO ALL OVER THE LANGUAGE ONCE AGAIN. I'D RATHER SUGGEST THE VIEWERS TO REFER BROCODE,0
@lakshitkarwa1009,part 2 pls🙏🙏🙏🙏,0
@Fabiola1897,26:00,0
@fireontires,"Can't we just do this 
Int ( ) {
double ×=10;
double y=5;
double z= (10/5)-0.7;",0
@etc1495,"Great video, wish programming wasn't so boring to me.",1
@younessx365,"Why this stupid idea to use CLion? Everyone will start with a free software, not a paid/trial thing that isn't even better than Visual Studio Community, like what?",0
@SalemAfework,Best video I’ve ever watched,0
@PritamChakraborty-v9l,"25:22 why use an extra variable, can we do this instead ?
 int a = 1; //assumed values of a and b 
 int b = 2; //a = 1, b = 2, before swap.
 a = a+b //a = 3, b = 2, compound assignment operator (+=) used here.
 b = a-b; //a = 3, b = 1
 a = a-b; //a = 2, b = 1, after swap (Swap successful)",0
@asimrafidhaque,<3,0
@Mesus-n3u,im just learning c++ to make gta mod menus,0
@thesocialtrends496,Im i alone here i watch 1 hour video to learn c++ and still not learn something i feel i down my self 😢,0
@BiniyamGslassie,Full course is not working I can't use it,0
@thebaba620,Is the full course worth it?,0
@AmosBanda-or3sj,leaving this here.,0
@andrealoumangangot7419,Thank you,0
@jakublubojacky8480,"24:45 couldn't i just use swap function?

I mean:  
using namespace std;
int main() {
    int a = 1;
    int b = 2;
    swap (a, b);
   cout << a;
}",0
@SamuelBoadi-y6i8t,"Mosh, C++ full course for begineers please",0
@jamesp9304,Your teaching sucks thank god you show us how to do it.,1
@SavageInc-q6v,When imputing a value in the floor function’s parameters/ parentheses why was 1.2 inserted? Can it be different? Will a different number have a different result as an outcome?,0
@Nerfwar-jackandAngelo,bro,0
@desmondnti1309,Me 2025 learning c*++. I will bring my feedback when I master it,13
@kakab3ba,"Hi! Thank u so much for learning all of us how to code! You helped everyone learn c++ and me so thank u so much! Have a good day! (: if u know lua ima teach u some c++ so

1. int (int is litterally local its how to make a variable)
2. cout (cout is printing)
3.if (its litterally the same just without the ""then"")

this is a c++ code

#inlcude <iostream> // make sure to use this when u start every project.

using namespace std; // also start with every project also always add a "";"" at the end of a sentence.

int main() // litt a function
{
// put ya code here
}",0
@swallow_gamer,24:40 what about deepcopy and shallow copy or that's only a thing in python?,0
@JASAT.com100,Latest newcomer 😅😅,0
@VictorZheng-sc5sc,what about rust?,0
@tebqzik_music,"Hi can I use VS Code,  Visual Studio Code to follow on this course",0
@UzamaIftikhar-k2n,"Sir,i am confused by difference between cout and printf function please",0
@WWhateverItTakes,Thanks bro! Been meaning to learn this and this tutorial was quick simple and easy!,0
@ernestomashalla,thanks,0
@krazywomannnnnnn,are there any IDE available for mobiles?,1
@ParsaAhmadi-g6p,"At the first problem i just used swap (&b, &a);
😂",0
@ponnadaArudra,Anyone from india ❤❤,0
@ΣκοτινηπικλαΠικλατουσκοτουσ,thanks man this video is very helpful i came hier to look at c++ one more time before my exams bc i dont have the notes and the way you explain it is very easy to understand plus i love how you encurage everyone much love from greece,0
@dee23gaming,"I would've preferred it if you gave a more manual C++ setup guide, instead of having an IDE do everything for us. I had to search up myself how to set up a C++ environment the way the pros do it. But no worries, as I can now code, compile, and run C++ programs from any plain text editor, and a PowerShell window using G++.",0
@Zibbzie,"For the random number generator, I simply did 
srand(time(0));
int rollOne = (rand() % 6) + 1;
int rollTwo = (rand() % 6) + 1;

Is this not effective?",0
@dryicel0l27,my brain exploded,4
@aydan4260,Thank you for all your help. Your teaching style is so simple and understandable that I decided to buy the full course. ,0
@Kavya-g2p,This was suspiciously easy,0
@Obynamn,"Okay... This is not for beginners. You gave us an exercise, but the very first exercise you used a solution that we would have NO idea existed. Like, it's like giving someone a bike without a chain, and telling them ""Ride it to the store"". Okay... well i cant ride it, it doesn't go anywhere. And then you come out and say ""aha! you forgot the bike chain!"" but... i didn't know a bike chain existed???? youre making me feel stupid and helpless lol",0
@Garpocalypse,The insane amount of ads are affecting my ability to learn when they appear mid sentence...,0
@MrPigga,I never received my cheat sheet. Good lesson though.,0
@Girlmulti,Thanks,0
@mikotourabe1830,"52:20 When I was experimenting I accidentally realized that you can farther make this smaller by doing

double x, y;
cin >> x >> y;

53:35 my code is like this

#include <iostream>

using namespace std;

int main() {
    cout <<""Enter values for Fahrenheit to calculate it to Celsius: "";
    double Fahrenheit;
    cin >> Fahrenheit;
    cout << ((Fahrenheit-32)*5)/9;
    return 0;
}",0
@Imdead3530,I had it switch it by std::cin; a = b; is that a bad practice?,0
@musrattaibaonnie1824,can we put printf and scanf_s instead of std::cout ?,0
@kmsGrześki,You don't really explain things.,1
@thebrownie6308,"I respect the work put into this entire tutorial course. Not only the videos, but the cheat sheets are also detailed to oblivion.",0
@signumt,What happened to the += -= *= /= %= //= operators,0
@SparkyNeo,37:26 Not in coding only. This rules apply for all kind of math solving.,0
@obsidianisadev,50:49 ninja no work to do?,0
@gcindies,Fckin ads every minute…,0
@evilcultleader,Mosh is the best programming tutor online,0
@VogatronYT,I will look back at this comment later on in the future after I master c++,0
@BabatundeMuhammed-kh7qw,Where’s the material link… for further learning sir ?,0
@SFGaming230,U technically also teachin math,0
@grilleddry,Great tutorial!!,0
@GechoBro,Wow thanks alot,1
@rob_al_honda,This was excellent.  I learned so much.  😊😊😊,0
@virid4074,learning C++ to make a custom game engine. Any help?,0
@LeighCanto,Im practicing in DGB and I don't know if its recommend site,0
@anurelish8164,™,0
@AlanBoss97,Learning new skill,0
@ShlokU-d1d,i just wanna say at 1:45-1:55 why do people say c++ is dead? PYTHON is built on C/C++,1
@Nobody_114,"Can we make the main program ""string main()"" and then return the string ""return ""this program worked"";"" ?",0
@Dr.FreeOfficial,"دهنت سرویس تو که ایرانی هستی😂
دمت گرم موفق باشی❤",0
@Cysco-n8k,"I was Here 2025 
I just started the journey",0
@jarekluberek8123,Fuck this. Way too slow.,0
@jwhite3389,"The rush that I got from figuring out the operator exercise was very exciting! I didn't do it exactly as you did but I still got the correct answer. Thank you for these vids, Mosh. You taught me python and now c++ lol.",0
@simplegametutorials1341,"My Solution (I code by dissecting a problem into several readable steps then coding it)
```cpp
int main()
{
double x = 10;
double y = 5;
double resultX = x + 10;
double resultY = 3 * y;
double Result = resultX / resultY;
std::cout << Result;;
return 0;
}
```
My answer was: 1.3333%",0
@NINJATH3ORY,May 15th 2025 dam tike flys been meaning to learn C++ since like forever as they say it's not to late!,0
@aliencatface9412,Why do you add minimum value again at the end? I don't understand that. You already got 6 from Max-Min+1. then u add minVal again?,0
@Geeno583,you are moving too fast,0
@KhotsoMontsi-r9j,'This is what we call garbage' 😂😂,0
@jacquelinemagante5041,Im from the Philippines and im going to high school called ste and there will be coding there so better to practice than wait when the school starts thanks this helps,0
@city1737,"I came here to learn Arduino programming, am I in the right place?",0
@NehaSharma_nsds,"Thank you so much sir for this tutorial ❤
Very helpful ❤",1
@HoangMinh-yf4bl,im using CLion myself but i cant seem to find the preferences menu to change the theme,0
@KOKOWAWAVE,22:04,0
@infxrnalsylvan,Can't believe courses like these are free!,1
@CameoChair,"insted of doing the thing u did at 25:57 i just did 
a = b; 
and it worked",0
@EmmanuelKissiSarfo,Am a beginner in c++ currently learning it this tutorials of very great benefit to me,1
@jivalishwarlall4275,Thankyou bro,0
@MangalaPremakumara,❤❤,0
@sveb0106,"I am still strugling with c++ and i don't know the meaning of ANY function whatsoever, if there is a video that explains it in even more details, it would be awesome.",0
@Shouya-m1g,"dude is a legend, wish I could take his complete course but I am broke",0
@SonuRaj-k9p6x,53:35,1
@johnpike8010,"Genuinely confused as to why you dont just use an uninitialized variable as a random number? Instead of 4 lines of code, its 1.",0
@eshan3009,"This was fantastic! So easy to learn!
Best thing was...you gave very small exercises to put gained knowledge into test after key topics. Loved it!",0
@errt-j3w,yoo 19 mins in im having fun thank oyu for the cheat sheet btw!! :D,0
@darkhypers2373,1:11:00,0
@darkhypers2373,49:05,0
@CharlesKiyaya,Today's 😂,0
@yournotdatguypal,I think what makes me drawn to coding so much is that not everybody wants to take the time to learn it and it makes you seem very bright talking computer language lol,0
@yournotdatguypal,Will this course give me a certification?,0
@revathimohanrevathi3085,"Sir,my brain not braining",0
@madilucey,I have tried hundreds of tutorials for C++ and all of them felt useless and I didn't learn anything but this one feels like an actual programming class. Best tutorial I have seen. Watch the whole thing so you dont miss anything.,0
@JanglesBo-p2e,"Someone may have already pointed this out but on your slides for working with numbers, you make reference to the number 255 being 8 (eight) ones (11111111) in binary notation. On the graphic this shows as six. Of course your statement is correct being but the graphic does not match up. Smallest issue I know, but for people using the slides as reference rather than the audio I thought I would highlight it :) Amazing video by the way, you've helped immensely :)",0
@craby_ba,GG bro,1
@ArtMast2011,hey mosh........is it standard input stream or string,0
@potapota3421,Mark 35:00,0
@abhishekak9619,"bro did not even explain to hot to learn from documentation to things and how to find out more about the things you would need to know to make what you want, wants us strapped to him like lambs to a slaughter at this rate.",0
@CristianAursulesei,Salut !merge codeblocks pe un asus cu procesor IntelCore i3-1215U cu 8GB ?,0
@breezy4500,step one be good at math...,0
@anutechies2.040,Anyone from India🇮🇳,2
@IsrA734,can i use visual studio in C++,0
@maxobrien9292,you taught me threejs aswell I love u!,0
@chillaivideosmak,Sir is this possible on turbo software,0
@harryhenderson3636,"Help! I can't find a site anywhere to help me. I made a program that prints permutations of an array. But everything is being printed on one line. I want it to look like this:

a b c 
c a b
b a c ... and so on.
DONE - I want this printed at the end of the list too on a new line.

I also want the size to vary with the array length for N = 4 I want:

A B C D
B A C D
C A B D... Hopefully I made it clear. Any help is GREATLY appreciated!",0
@masterxvision_,his chanel link is https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA,0
@D3DBLUD,"Need help  at 50:58.  Whenever I ran that one,  it always read
Enter values for x: 32764",1
@King.Akorede,"System.out.println(""akorede is the goat""); this a code in java",1
@BladesingersLover,Anyone interested on making a tower defense game?,0
@nolifegamerxdl,not enough ppl like this vid  like what bro,0
@Rituraj_.COMMENT,Hindi is useful ❤❤,0
@DéboraHernández22,"SUPER MEGA USEFUL, THANK YOUUU!!!!",1
@BayushEshetie,keep it up.thanks,0
@jamesjaiden7857,C++,0
@priyankasukhthanker4076,How can i get the cheat sheet? It is not sending me any email.,0
@Akashpattar-j2d,I am also start the  c++ program,0
@Reina911,can't download cheat sheet sir,0
@wandersonpereira9884,"Hi Mosh, that's an amazing course. Thanks for sharing.

Do you have a course of C?",0
@KuukaMukayi-vw5qt,The cheat sheet has failed to download,0
@orebelo,Too bad this tutorial uses CLion even though it says the the focus is on the language instead of the IDE but it's not that simple. CLion is a great tool? Yes... but if you are not paid yet for programming with C++ it costs a lot. Unfortunately JetBrain doesn't have the sensibility to understand the needs of newbies releasing a simple version or a subscription accordantly. I'll look else where for a tutorial with a free tool.  Visual Studio is great one of the best but doent have Mac version.  Mac version it's not Visual studio....,0
@AbdíYōséph,I'm watching now. 2025,1
@elman5395,I’m trying to get the cheat sheet but the website keeps telling me error and to contact administrator. Can anyone lend a hand here?,0
@KAIBlent,Does x += 5 also work?,0
@Odemiar,Hey man I think the c++ cheat sheet website is down. Tried inputing my details and it doesnt work 😢,0
@TheDecayedWiki,i am building my linux OS with c++,0
@Mannupp0,57:46 pi in cmath is M_PI,0
@CherryDev-Coding,"""One more video before bed""
the video:

(Jokes aside, thank you so much! C++ is incredibly useful, and I've been meaning to learn it!)",1
@king-pz6ib,At 25:36 I don’t understand how a equals b and temp how can it equal both?,1
@Pepijnvandervalk,the jetbrains ide's suck!!!,0
@heyer777,bro sold his testicles for mac 💀,0
@mjsmith570,"Prefacing every practical exercise with ""This is incredibly easy, you should be able to do it in a couple seconds"" before asking a complete beginner to figure it out is kinda wack lol.  It ain't super easy if its the first time you've ever been presented with a problem in C++ or any programming language.",2
@pecoliky,"45:10 i arranged them as:

double
double
double
cout string1
string2
string3

is this incorrect? is it about organizing or does it have an effect?",0
@pecoliky,"38:35 probably will be laughed at by anyone who knows math, but i did it in 2 tries, because i forgot to set the int to double xD monke brain work",2
@gonkie4658,"1hr?  From beginner to programmer in 1hr? Ok, why not? I used to own a book called 'Teach Yourself C++ in 21 Days'.  I remember thinking, ' if only I'd seen this book sooner, I coulda avoided all the crap I went through to get into university.  Needless to say, I confidently dropped out of university 3 weeks later, a fully competent C programmer.  I think I'm more or less remembering that right anyway.  Not that it really matters but I never did manage to find the 'Teach Yourself How to Lie About Teaching Yourself C++ in 21 days', book.",0
@pecoliky,"25:00 what i did is change ''file_size'' to ''counter'' and it started displaying the value from ''counter'' instead xD

and then i saw the third bucket solution lmao",0
@baoyedeng,"Thanks Mosh.After this video, I think i learn many thing!
🙂🙂",0
@kkmarjit123,I haven't understood that what is float or it's function. 😢,0
@JeppeAchtonNielsen,"Thx for a great video, I went through every bit of it and coded all solutions. I couldn't implement the dice program with syntax shown at 1:20:22 luckily this was a blessing in disguise as I came up with a different way to solve the problem. Ended up using a do while loop and seeding srand with rand each iteration.",1
@supachill1,"I am a carpenter, it seems everyone commenting here that this is a great tutorial!
Apparently I will remain a carpenter because WTF is any of this?!
Congratulations to all the smart people!",0
@Twix-e8f,first day - 37:00,0
@MohammadZain-d3x,Ha i learn but forget😮,1
@ForHSDLOnly,where cab i download this app to try and practice programming languages,0
@shantanugaikwad027,31:55  what is use of double,0
@MindangJunior,"I'm a new subscriber, thank you so much 👍🏼",0
@D4rkG3m1ni,"my brain got error because i didnt put "";"" at the end of Nerve",0
@Bilal-e8w,"😊 Thank you so much .,u helped a lot. U deserve more than the likes",0
